2000;0.00;3.79
4000;0.01;3.85
8000;0.08;3.89
16000;0.28;3.92
32000;1.08;3.98
64000;4.36;4.10
128000;17.42;4.35
256000;69.68;4.85
512000;279.15;5.77
1024000;1114.51;7.70
2048000;4465.98;11.61
